session_id,user_id,duration,tree,hour,day_of_week,task,task_word_count,task_char_count,completed_review,task_cluster,tree_encoded
6a2da003598fcef5aa5a1c1d,1231763689,60,moth orchid,18,5,Novel reading,2,13,0,0,72
6a2da0cc598fcef5aa5a1c20,5798447456,90,bird of paradise,18,5,K87,1,3,1,0,10
6a2da237598fcef5aa5a1c25,8358317182,50,wishing tree,18,5,Sleep,1,5,0,0,111
6a2da23b598fcef5aa5a1c26,1756679307,60,unknown,18,5,Sleep,1,5,1,0,104
6a2da24c598fcef5aa5a1c27,1188419744,50,wishing tree,18,5,Lec 4,2,5,0,0,111
6a2da409598fcef5aa5a1c2b,5766092870,60,dancing lady orchid,18,5,20 questions,2,12,0,0,37
6a2da901598fcef5aa5a1c3c,7610578575,90,شجرة بلوط بنفسجى,19,5,حفظ الصخور,2,10,1,0,170
6a2db00e598fcef5aa5a1c4e,8123792098,9,white rose,19,5,Yes,1,3,0,0,108
6a2dbea1598fcef5aa5a1c73,1463187459,50,unicorn tree,20,5,Let me think,3,12,1,0,103
6a2dbeaf598fcef5aa5a1c74,1188419744,50,unicorn tree,20,5,Lec 5,2,5,0,0,103
6a2dbf63598fcef5aa5a1c76,757592704,180,شجرة الأمنيات,20,5,ب,1,1,0,0,159
6a2dc89d598fcef5aa5a1c85,1407187290,4,unknown,21,5,Ch 6 ch8 ch5,4,12,0,0,104
6a2dcc2c598fcef5aa5a1c8a,6961131393,105,cyclamen,21,5,Training,1,8,0,0,35
6a2dd1a1598fcef5aa5a1c94,1166580956,90,maple,21,5,Study well,2,10,0,2,67
6a2dd4e1598fcef5aa5a1c98,1809073758,180,unknown,22,5,yes,1,3,0,0,104
6a2dd66e598fcef5aa5a1c9b,1380474633,180,شجرة الأمنيات,22,5,"Practice one 
Practice two 
practice three",6,42,0,0,159
6a2dde37598fcef5aa5a1cac,7889275923,90,شجرة الأمنيات,22,5,اخلص ٣ محاضرات,3,14,1,0,159
6a2df06e598fcef5aa5a1cbd,1425423440,120,عباد الشمس,0,6,Ecg,1,3,0,0,179
6a2df7d7598fcef5aa5a1cc2,620060421,120,unknown,0,6,إنهاء الإحصاء,2,13,1,0,104
6a2e020d598fcef5aa5a1cc7,1382116841,90,sunflower,1,6,Bath,1,4,1,0,98
6a2e1fdd598fcef5aa5a1ce4,1463187459,25,luminie,3,6,Weekly review,2,13,1,0,66
6a2e265c598fcef5aa5a1cef,1463187459,25,luminie,3,6,Watch a video on daily log and weekly review and massage mom,12,60,1,0,66
6a2e2c6c598fcef5aa5a1cf8,1382116841,120,royal poinciana,4,6,start registration stuff,3,24,1,0,89
6a2e2ef8598fcef5aa5a1cfd,1463187459,25,luminie,4,6,"Apply a system, sources: claude, clipboard 

Write on paper",9,59,1,0,66
6a2e3792598fcef5aa5a1d0b,1463187459,25,moth orchid,5,6,"Shower while brushing 
Fajr prayer
Finalize the daily.md
Write goal for this week on the monitor",16,96,1,4,72
6a2e3bfa598fcef5aa5a1d0f,5619808541,90,unknown,5,6,اخلص شابتر ٥,3,12,1,0,104
6a2e4948598fcef5aa5a1d1d,8496118314,90,snowflake bush,6,6,2 chapters revision!,3,20,1,0,92
6a2e53d3598fcef5aa5a1d29,1453265169,90,unknown,7,6,"📖 
تشوفون الرساله؟",3,18,0,0,104
6a2e542d598fcef5aa5a1d2a,5619808541,90,unknown,7,6,اخلص شابتر ٧ + نص ٩,6,19,1,0,104
6a2e69ae598fcef5aa5a1d45,1010868758,60,white rose,8,6,Preob abx lec,3,13,1,0,108
6a2e69ae598fcef5aa5a1d45,1382116841,60,white rose,8,6,"completion of forms, initiation of infographics editing",7,55,1,0,108
6a2e6cb3598fcef5aa5a1d4b,5619808541,90,royal poinciana,8,6,اخلص شابتر ٩,3,12,0,0,89
6a2e6d90598fcef5aa5a1d4c,933145614,120,unknown,9,6,Aortic dissection,2,17,0,0,104
6a2e6e54598fcef5aa5a1d50,1453605769,120,شجيرة الثلج,9,6,Write 300 - 600 word,5,20,1,0,176
6a2e79be598fcef5aa5a1d5b,8496118314,30,black forest cake,9,6,Lecture,1,7,0,0,11
6a2e79be598fcef5aa5a1d5b,5946505330,30,black forest cake,9,6,10 pages,2,8,1,1,11
6a2e79d0598fcef5aa5a1d5c,8857043559,60,pink rose,9,6,Studying mathematics,2,20,1,0,79
6a2e81d1598fcef5aa5a1d69,7883475085,60,كيكة الغابة السوداء,10,6,إنهاء كل أسئلتي,3,15,1,0,187
6a2e86be598fcef5aa5a1d70,1008926066,60,cake tree,10,6,L1,1,2,0,0,15
6a2e86be598fcef5aa5a1d70,5946505330,60,cake tree,10,6,15 pages,2,8,0,1,15
6a2e9124598fcef5aa5a1d82,7883475085,90,شيفون فراولة كيك,11,6,إنهاء كويزات دروس,3,17,0,0,177
6a2e949c069c48e44bace8c2,1463187459,3,moth orchid,11,6,Testing the bot,3,15,1,0,72
6a2e9c17069c48e44bace8dc,6981823474,180,هياسينز,12,6,"D1
2s",2,5,0,0,194
6a2ea6b7069c48e44bace8f5,1254038201,120,wisteria,13,6,Lec occlusion,2,13,0,0,112
6a2eab39069c48e44bace8fe,5915578011,60,flaming katy,13,6,Review,1,6,0,0,43
6a2ec5ae069c48e44bace92e,758226588,5,royal poinciana,15,6,Study Russian,2,13,1,2,89
6a2ec9b5069c48e44bace939,5348938551,120,unknown,15,6,اااااا,1,6,0,0,104
6a2eec2ca703f6b0553d7ac3,1463187459,1,royal poinciana,18,6,Test bot,2,8,1,0,89
6a2ef2da6eead0cbd5a97f14,1463187459,1,royal poinciana,18,6,Test bot,2,8,1,0,89
6a2efa076eead0cbd5a97f22,7308463419,90,planet guardian,18,6,Respiratory lecture pt.1,3,24,0,0,80
6a2efb706eead0cbd5a97f25,7882890181,180,carnation,19,6,.,1,1,0,0,20
6a2f07d0f389b83686039d85,1136431025,55,داليا,19,6,خمس اقسام,2,9,0,0,138
6a2f08caf389b83686039d89,6800980732,90,snowflake bush,20,6,Write the full five pages for E,7,31,0,1,92
6a2f09dff389b83686039d8f,758226588,60,royal poinciana,20,6,"Review the whole weeks (1,2,3,5)",5,32,0,0,89
6a2f190ef389b83686039da8,758226588,60,red silk cotton,21,6,Test myself till I nailed it,6,28,1,0,86
6a2f1930f389b83686039daa,1380474633,90,flaming katy,21,6,"Chapter 12
Chapter 11",4,21,1,0,43
6a2f1fb2f389b83686039db2,1136431025,120,رويال بوانسيانا,21,6,+ ١٠ اقسام,3,10,1,0,141
6a2f21a7f389b83686039db4,8602427579,120,شجرة الكرز,21,6,مراجعة عضويه,2,12,1,0,167
6a2f2a58f389b83686039dc4,261939997,120,wishing tree,22,6,Pet my dog,3,10,1,0,111
6a2f375cf389b83686039dd2,5559226831,60,cloud moon tree,23,6,قران,1,4,1,0,28
6a2f375cf389b83686039dd2,116677164,60,cloud moon tree,23,6,"Task 1
Task 2",4,13,0,3,28
6a2f4009f389b83686039dd9,1908410169,30,زهرة الأقحوان المقوس,23,6,Video-part1,1,11,1,0,143
6a2f4167f389b83686039dda,1136431025,120,شجرة الكابوك الحمراء,0,0,١٠ اقسام ثانية,3,14,1,0,165
6a2f48bbf389b83686039de0,1908410169,30,كيك ليمون,0,0,Video-part1,1,11,1,0,186
6a2f4e18f389b83686039de6,1380474633,120,azalea,0,0,"Mid2 done 
Start 
Mid1",4,22,0,0,6
6a2f50b1f389b83686039de9,1908410169,30,زهرة الهندباء,1,0,Video-part2,1,11,1,0,154
6a2f5aa2f389b83686039df4,951177867,120,كالينديولا,1,0,الخص تشابتر,2,11,1,0,180
6a2f6127f389b83686039dfa,1136431025,120,زنبق العنكبوت الأحمر,2,0,١٠ اقسام ثالثة,3,14,1,0,142
6a2f6175f389b83686039dfb,8207394031,100,unknown,2,0,Lec3,1,4,0,0,104
6a2f7a5af389b83686039e18,1908410169,30,زهرة الزنبق,4,0,Video-part2,1,11,1,0,150
6a2f7f93f389b83686039e20,1382116841,120,11th anniversary cake tree,4,0,Eat and get dressed,4,19,1,0,0
6a2f819bf389b83686039e22,1136431025,120,كاميليا,4,0,١٠ اقسام,2,8,1,0,181
6a2f853bf389b83686039e24,1296204044,90,شجرة الأمنيات,4,0,Review of the immunity question,5,31,1,0,159
6a2f8989f389b83686039e26,1233889637,60,ورد,5,0,اخلص المصطلحات كلها,3,19,0,0,195
6a2f99f6f389b83686039e36,1479456417,120,unknown,6,0,Pharma adrenal gland,3,20,1,0,104
6a2f9d6bf389b83686039e3b,1382116841,120,8th anniversary cake tree,6,0,Arrange clothes in drawer and open parcels while doing video for proof,12,70,1,0,2
6a2f9f76f389b83686039e3d,1156443508,120,bald cypress,6,0,Surgery,1,7,0,0,7
6a2fa15bf389b83686039e41,1436768140,60,corn poppy,6,0,انقلعوا🤍,1,8,0,0,32
6a2fadfff389b83686039e55,1453605769,90,إيريس,7,0,Writing The scene of going home and then going to the hospital,12,62,1,0,115
6a2fbd72f389b83686039e6a,1479456417,60,unknown,8,0,These 4 pages that from previous session,7,40,0,3,104
6a2fbee4f389b83686039e6b,1382116841,60,lemon cake,8,0,"Segregate garbages.
Bring out stuff for trash later.
Donate money to those struck by typhoon
Submit gdocs for receipt",19,117,1,0,61
6a2fc7c7f389b83686039e78,1453605769,90,اللافندر,9,0,Completing the previous task,4,28,1,3,124
6a2fceecf389b83686039e88,7318127127,60,زهرة البرقوق,10,0,مراجعة شابتر٩,2,13,0,0,146
6a2fcf5df389b83686039e8a,1479456417,60,unknown,10,0,Diabites,1,8,0,0,104
6a2fcfeff389b83686039e8e,8857043559,60,unknown,10,0,Understand bfs graph,3,20,1,0,104
6a2fcfeff389b83686039e8e,1382116841,60,unknown,10,0,"Half bath
Get dressed
Start PMA revisions",7,41,1,0,104
6a2fd80ef389b83686039ea3,6945406993,90,mock orange,10,0,Reach page 27,3,13,1,0,69
6a2fe0d2f389b83686039eb2,1382116841,60,chocolate strawberry cake,11,0,"Eat dinner
Wash plates
Skin care",6,32,1,0,26
6a2fee8df389b83686039ed7,5915578011,60,dahlia,12,0,"مراجعة الانفال 
٣ اوجه حفظ 
لو خلصتهم براجع ٥ صفحات من الاعراف برضو",13,67,1,0,36
6a2ff1a8f389b83686039edd,8857043559,60,unknown,12,0,Study,1,5,1,2,104
6a2ff1a8f389b83686039edd,1382116841,60,unknown,12,0,"Toothbrush
Get ready for bed
Prepare bag for tomorrow 
Check food for toms",13,74,1,0,104
6a2ff1daf389b83686039ede,7302706392,70,unknown,12,0,Stacy,1,5,0,0,104
6a2fff51f389b83686039f01,5915578011,60,juliet,13,0,"Ch 1
Ch 2
Ch 3",6,14,1,0,56
6a30013ef389b83686039f05,1413468316,90,maple,13,0,"1
2",2,3,0,0,67
6a300258f389b83686039f07,1365802077,60,زهرة القرنفل,13,0,Rev ch 10 and9,4,14,0,0,152
6a300258f389b83686039f07,1192946330,60,زهرة القرنفل,13,0,Complete chapter 11,3,19,0,0,152
6a300910f389b83686039f12,7889275923,60,lily flower,14,0,اخلص مذاكرة محاضرة ١,4,20,0,0,63
6a30128df389b83686039f34,5915578011,40,رويال بوانسيانا,14,0,"Ch 4 
Ch 5 50%",5,14,1,0,141
6a301c07f389b83686039f47,5559226831,60,المتوهجه كاتى,15,0,أراجع كلمات,2,11,1,0,125
6a301dbff389b83686039f4a,1453605769,90,إيريس,15,0,Read 50 pages,3,13,1,1,115
6a302068f389b83686039f56,5915578011,60,azalea,15,0,Ch 5,2,4,0,0,6
6a302c74f389b83686039f85,5559226831,90,ورد,16,0,اخلص كل الكلمات,3,15,1,0,195
6a3037a7f389b83686039fa4,1136431025,120,unknown,17,0,"اكمل شرح العلوم
+خمس اقسام",5,26,1,0,104
6a30403af389b83686039fb8,5915578011,60,snapdragons,18,0,"Ch 6
Ch 1
Ch 2
Ch 3",8,19,1,0,91
6a304547f389b83686039fc6,5559226831,90,رافليسيا,18,0,قسم الكتابه تاسك ون,4,19,1,0,139
6a304774f389b83686039fce,7903152339,90,pink oak tree,18,0,Unit 6 electrostatic,3,20,1,0,78
6a304774f389b83686039fce,5224019126,90,pink oak tree,18,0,Unit 6 electrostatic,3,20,0,0,78
6a3047def389b83686039fd2,1188419744,60,unknown,18,0,Lec 1 and 2,4,11,0,0,104
6a304a60f389b83686039fda,2003113798,60,unknown,18,0,yes,1,3,0,0,104
6a304facf389b83686039fe1,1908410169,25,تيراميسو,19,0,Video-part3,1,11,0,0,129
6a305108f389b83686039fe3,8456081087,90,carnation,19,0,"thrombosis 
uti",2,15,0,0,20
6a305635f389b83686039fee,1136431025,60,المتوهجه كاتى,19,0,خمس اقسم,2,8,1,0,125
6a30574ef389b83686039ff4,1296204044,90,azalea,19,0,التغذيه خلال مراحل الحياه,4,25,1,0,6
6a30588bf389b83686039ff9,1188419744,60,cake tree,19,0,Lec 3,2,5,0,0,15
6a30593ef389b83686039ffb,7721716954,90,water spirit,19,0,"احل الفصل ٥
احل الفصل ٦
احل الفصل ٧
احل الفصل ٨
احل الفصل ٩
احل الفصل ١٠",18,72,1,0,105
6a305cbef389b8368603a001,5559226831,90,زهرة الخشخاش,20,0,اعرف الأساسيات حق التاسك ون,5,27,0,0,149
6a306332f389b8368603a015,484054927,30,شجيرة الثلج,20,0,30min- علم الارض و الفضاء p1+p2,6,31,0,0,176
6a306932f389b8368603a021,8456081087,90,azalea,21,0,"Uti 
Autimn",2,11,0,0,6
6a306a2df389b8368603a024,1188419744,60,dahlia,21,0,Lec 4,2,5,0,0,36
6a3086b1f389b8368603a059,5165732509,60,unknown,23,0,فيزياء أرجعه,2,12,0,0,104
6a3097f4f389b8368603a066,8456081087,90,cherry blossom,0,1,"jaundice 
thrombosis",2,20,0,0,23
6a30a6fdf389b8368603a070,1136431025,60,الياسمين البرتقالي,1,1,خمس اقسام,2,9,1,0,127
6a30a740f389b8368603a071,6256519479,120,treehouse,1,1,Test,1,4,0,0,100
6a30b631f389b8368603a078,1136431025,60,جولييت,2,1,خمس اقسام,2,9,0,0,133
6a30bfa9f389b8368603a080,1222474437,180,cyclamen,3,1,اراجع,1,5,0,0,35
6a30f9eec090b5028ae1aab3,1463187459,60,strawberry macaron,7,1,Test,1,4,1,0,97
6a30fb41c090b5028ae1aab5,2096423094,10,رويال بوانسيانا,7,1,Study,1,5,0,2,141
6a310fa7c090b5028ae1aacb,1453605769,120,زهرة الثلج,8,1,Writing  200-500 word,3,21,1,0,147
6a311693c090b5028ae1aad3,8269588587,55,royal poinciana,9,1,"55 break 
بعدها مذاكرة",4,22,1,0,89
6a312553c090b5028ae1aae1,1444559247,60,snowflake bush,10,1,Study,1,5,0,2,92
6a312acdc090b5028ae1aaea,1991209912,120,plum blossom,10,1,10,1,2,0,0,81
6a313c17c090b5028ae1ab04,1453605769,60,زهرة الثلج,12,1,Read 45 pages,3,13,0,1,147
6a313c7dc090b5028ae1ab05,7441793409,20,شجرة الأمنيات,12,1,Drink tea,2,9,1,0,159
6a3146eac090b5028ae1ab19,1382116841,60,allium,12,1,"Half bath
Get dressed
Start forms for Philhealth accreditation",9,62,1,0,3
6a314fd6c090b5028ae1ab2d,1136431025,60,زهرة الثلج,13,1,خمس اقسام,2,9,1,0,147
6a3154dcc090b5028ae1ab35,5915578011,60,royal poinciana,13,1,Ch 1 Ch 4,4,9,0,0,89
6a315fbac090b5028ae1ab49,1136431025,60,داليا,14,1,١٠٠ سؤال مفحر,3,13,0,0,138
6a31668ac090b5028ae1ab57,5915578011,60,choco chip cupcake,15,1,"براجع الانفال 
٣ اوجه",4,21,0,0,25
6a316a4fc090b5028ae1ab67,5060286862,120,dahlia,15,1,Complete 12th and 13th ca,5,25,1,0,36
6a317235c090b5028ae1ab76,1136431025,60,الياسمين البرتقالي,15,1,١٠٠ سؤال مفكر,3,13,0,0,127
6a31770dc090b5028ae1ab80,1156443508,90,sunflower,16,1,Anaesthesia,1,11,0,0,98
6a3178b9c090b5028ae1ab86,1453605769,120,زهرة الأوركيد,16,1,Finish a scene send to the nursing home + attach a scene of cutting watermelon,15,78,1,0,145
6a3193d4c090b5028ae1abb6,5580876662,60,luminie,18,1,L7,1,2,1,0,66
6a319da0c090b5028ae1abc5,7441793409,30,الشجرة النجمية,19,1,Read 3 pages,3,12,1,1,123
6a31a60dc090b5028ae1abd2,7441793409,30,الشجرة النجمية,19,1,Read 3 pages,3,12,1,1,123
6a31b655c090b5028ae1abea,7441793409,30,شجرة بلوط زرقاء,20,1,Eat,1,3,0,0,171
6a31f693c090b5028ae1ac28,1382116841,60,mock orange,1,2,PATIENT CONSULT. START DTR PRINT,5,32,1,0,69
6a320726c090b5028ae1ac33,5599377712,60,allium,2,2,derma,1,5,0,0,3
6a3207bec090b5028ae1ac34,1382116841,60,allium,2,2,"continue consult, start DTR",4,27,1,0,3
6a321a1dc090b5028ae1ac42,1382116841,60,epiphyllum,3,2,"lunch, start typing DTR record, toothbrush, wash dishes, CR, makeup",10,67,1,0,41
6a322b98c090b5028ae1ac53,1382116841,60,flame bloom,5,2,"Write dtr, px consult PM",5,24,1,0,42
6a322f5bc090b5028ae1ac59,1359773947,120,wisteria,5,2,Diseases of testicular and scrotum,5,34,0,0,112
6a324e81c090b5028ae1ac71,853031273,60,red silk cotton,7,2,Study math,2,10,1,2,86
6a324e81c090b5028ae1ac71,1382116841,60,red silk cotton,7,2,continue px consult and do DTRs if vacant,8,41,1,0,86
6a325a8fc090b5028ae1ac7e,783806419,60,snapdragons,8,2,Organic chemistry review,3,24,1,0,91
6a325efac090b5028ae1ac84,1382116841,60,moth orchid,8,2,"dtr 1 page
start packing things before sign out",9,47,1,0,72
6a325f7ac090b5028ae1ac85,5060286862,180,wishing tree,8,2,I will complete 13th and 15th ca,7,32,1,0,111
6a327bb5c090b5028ae1acad,5534874386,10,bellflower,10,2,Pray,1,4,0,0,9
6a327bb5c090b5028ae1acad,853031273,10,bellflower,10,2,Study math,2,10,1,2,9
6a327ddac090b5028ae1acae,1382116841,60,sacred light tree,10,2,"Wash off, change dress",4,22,1,0,90
6a327f9dc090b5028ae1acb2,5534874386,30,bellflower,11,2,Coffee and L R1,4,15,1,0,9
6a328fd7c090b5028ae1acca,5534874386,30,bellflower,12,2,L2,1,2,1,0,9
6a329dc5c090b5028ae1acdb,1453605769,90,camellia,13,2,Read 44 pages,3,13,0,1,18
6a329dd7c090b5028ae1acdc,1359773947,120,pink oak tree,13,2,Upper urinary tract obstruction,4,31,0,0,78
6a329f80c090b5028ae1acdf,1382116841,60,nightshade tree,13,2,"Prep things for tomorrow 
Watch Esnyr
Watch WHA or Hoppers
Prep to sleep",13,72,1,0,76
6a32ab38c090b5028ae1acf3,5534874386,30,snowflake bush,14,2,Eat,1,3,0,0,92
6a32ab38c090b5028ae1acf3,7441793409,30,snowflake bush,14,2,Start reading,2,13,1,0,92
6a32ab38c090b5028ae1acf3,8836207102,30,snowflake bush,14,2,exam 3,2,6,1,0,92
6a32b079c090b5028ae1acf9,5060286862,60,aqua pearl,14,2,Do 60 percent of 15th CA,6,24,1,0,4
6a32b5c9c090b5028ae1ad02,8836207102,30,red spider lily,14,2,continue Q exam 3,4,17,1,0,87
6a32b729c090b5028ae1ad08,8750916550,90,oak tree,15,2,دروس نصوص,2,9,0,0,77
6a32bff8c090b5028ae1ad12,5534874386,30,snowflake bush,15,2,Sleep,1,5,0,0,92
6a32bff8c090b5028ae1ad12,5060286862,30,snowflake bush,15,2,15th ca,2,7,1,0,92
6a32c660c090b5028ae1ad1c,853031273,30,ماشروم,16,2,Study math pt3,3,14,1,2,189
6a32c841c090b5028ae1ad20,5060286862,30,bellflower,16,2,Revision,1,8,1,0,9
6a32c841c090b5028ae1ad20,5534874386,30,bellflower,16,2,Coffee and L R1,4,15,0,0,9
6a32daf4c090b5028ae1ad3f,1359773947,90,tulip,17,2,Ped uro,2,7,1,0,101
6a32e0cac090b5028ae1ad47,1188419744,60,lotus,18,2,Lec 4 & 6,4,9,0,0,64
6a32e852c090b5028ae1ad4d,8857043559,60,cloud moon tree,18,2,Sleep,1,5,1,0,28
6a32eb44c090b5028ae1ad4f,6543583238,90,lily flower,18,2,I will study Russian language,5,29,0,2,63
6a32ec5dc090b5028ae1ad53,6468246402,90,mock orange,18,2,"بخلص قاعدة الوحدة الرابعة 
بحل الأسئلة",6,38,1,0,69
6a32f278c090b5028ae1ad5b,1359773947,90,pink rose,19,2,Ped uro,2,7,0,0,79
6a32f661c090b5028ae1ad5f,6103794729,120,royal poinciana,19,2,Chemic chapter 1,3,16,0,0,89
6a32f8d3c090b5028ae1ad63,1188419744,60,twilight guardian,19,2,Lec 6,2,5,0,0,102
6a32fc6dc090b5028ae1ad6d,1842922859,120,شجرة اليوسفي,19,2,7 بنوك كمي,3,10,0,0,168
6a331c0ec090b5028ae1ad8e,6468246402,90,epiphyllum,22,2,"اخلص الوحدة الخامسة 
و احل الاسئلة",6,34,1,0,41
6a332d54c090b5028ae1ad99,7441793409,50,الشجرة النجمية,23,2,Drink coffee + Review lec1,5,26,1,0,123
6a3332bbc090b5028ae1ad9b,6468246402,90,nightshade tree,23,2,اكمل الرابعة و احل اسألتها,5,26,0,0,76
6a334a6dc090b5028ae1adad,6191944259,90,white rose,1,3,رياضيات 2 حصة,3,13,0,0,108
6a33504dc090b5028ae1adb1,1136431025,120,حارس الشفق,1,3,100 سؤال مفكر,3,13,1,0,136
6a33633dc090b5028ae1adcb,1934488116,90,تيراميسو,3,3,2,1,1,0,0,129
6a336bf2c090b5028ae1add1,1842922859,60,blueberry macaron,3,3,اخلص مراجعة البنك الثاني واخذ البنك الثالث,7,42,0,0,13
6a336e77c090b5028ae1add4,1136431025,120,حارس الكوكب,4,3,100 سؤال المفكر,3,15,1,0,137
6a3378ddc090b5028ae1addf,5060286862,90,bald cypress,4,3,Complete 16th ca,3,16,1,0,7
6a337c2dc090b5028ae1ade2,1842922859,30,hyacinth,5,3,اراجع البنك الاول كويز و فالمنصه و اخذ ١٠ اقسام لفظي,11,52,0,0,50
6a339600c090b5028ae1adfb,5060286862,60,blueberry macaron,6,3,"1.Go through notification 
2. Revision of ca",7,44,1,0,13
6a33a765c090b5028ae1ae10,1960683120,90,sunflower,8,3,"1 bank 4 qudurat
45 قسم لفظي",7,28,0,0,98
6a33b962c090b5028ae1ae22,5060286862,90,cuckoo clock,9,3,Complete 17 ca,3,14,1,0,34
6a33c55bc090b5028ae1ae31,1453605769,90,شجرة الترومبيت الذهبية,10,3,Writing the beginning of the eighth chapter is about 200-500 words,11,66,1,0,160
6a33d0e0c090b5028ae1ae42,5599377712,60,iris,11,3,surgery,1,7,0,0,53
6a33d807c090b5028ae1ae4a,1359773947,5,jacaranda,11,3,"1-Fractured and dislocation of bone
2-ER",6,40,0,0,54
6a33dbc0c090b5028ae1ae4f,862179590,95,ice crystal bloom,11,3,اذاكر بايو ميكب :< ادعوا لس,6,27,0,0,51
6a33de01c090b5028ae1ae53,1453605769,90,flaming katy,12,3,Read 50 pages,3,13,1,1,43
6a33e441c090b5028ae1ae5c,1136431025,120,شجرة الكاكي,12,3,"٥٠ سؤال كمي
٥ اقسام لفظي",6,24,1,0,166
6a33e7ebc090b5028ae1ae62,783806419,90,golden wings,12,3,Watching course video,3,21,0,0,49
6a33fb8bc090b5028ae1ae7b,7820635915,120,زنبق العنكبوت الأحمر,14,3,I want to study for an hour,7,27,0,2,142
6a34009bc090b5028ae1ae85,5060286862,120,bellflower,14,3,"1. Ca 18th
2. Revise maths
3. Revise 17th
4. Revise 18th",12,56,1,0,9
6a3444edc090b5028ae1aed0,6553210842,90,dancing lady orchid,19,3,درسين تلاوة,2,11,0,0,37
6a3444edc090b5028ae1aed0,1234989040,90,dancing lady orchid,19,3,"RBF ○
GFR ○",4,11,1,0,37
6a345caec090b5028ae1aee6,1234989040,90,lemon cake,21,3,"RBF ○
GFR ○",4,11,0,0,61
6a346224c090b5028ae1aeef,1453605769,120,زنبق العنكبوت الأحمر,21,3,Read as much as I can of my new book,10,36,0,1,142
6a346852c090b5028ae1aef2,7178962959,60,جاكاراندا,21,3,Done with تيار المتردد و نص دوائر تيار المتردد,9,46,1,0,130
6a348a01c090b5028ae1af06,1382116841,60,allium,0,4,incision and drainage,3,21,1,0,3
6a349ec2c090b5028ae1af11,1382116841,60,epiphyllum,1,4,"continue patient consult, organize table if time permits",8,56,1,0,41
6a34b122c090b5028ae1af22,1382116841,60,mock orange,3,4,"patient consult
organize table - rx arrangement",7,47,1,0,69
6a34b9dcc090b5028ae1af26,1485498453,120,azalea,3,4,Study math,2,10,0,2,6
6a34ba24c090b5028ae1af28,1967730149,60,mock orange,3,4,الصفحة الأولى والثانية من المراجعة,5,34,1,0,69
